current_date,current_time,departure_time,arrival_time,airline,duration,stops,price,dep_airport,arr_airport,operated_by,other
2019-7-15,17:49,7:00pm,7:10am,Norwegian Air UK,6h 55m,(Nonstop),"$1,006",Liberty Intl. (EWR),Heathrow (LHR),United 14,Boeing 767-300 | Dinner
2019-7-15,17:49,11:25am,11:20pm,Norwegian Air UK,7h 0m,(Nonstop),"$1,051",John F. Kennedy Intl. (JFK),Gatwick (LGW),Norwegian Air UK 7914 operated by Evelop Airlines,Airbus A330-300 | Food and beverage for purchase
2019-7-15,17:49,10:00pm,10:00am,Norwegian Air UK,7h 0m,(Nonstop),"$1,051",John F. Kennedy Intl. (JFK),Gatwick (LGW),Norwegian Air UK 7018,BOEING 787-9 | Food and beverage for purchase
2019-7-15,17:49,11:00pm,11:00am,United,7h 10m,(Nonstop),"$1,372",John F. Kennedy Intl. (JFK),Gatwick (LGW),Norwegian Air UK 7016,BOEING 787-9 | Food and beverage for purchase
2019-7-15,17:49,7:00pm,7:10am,United,7h 10m,(Nonstop),"$1,372",Liberty Intl. (EWR),Heathrow (LHR),United 14,Boeing 767-300 | Dinner
2019-7-15,17:49,10:00pm,10:10am,United,7h 20m,(Nonstop),"$1,372",Liberty Intl. (EWR),Heathrow (LHR),United 940,Boeing 767-300 | Dinner
2019-7-15,17:49,6:00pm,6:20am,United,7h 20m,(Nonstop),"$1,372",Liberty Intl. (EWR),Heathrow (LHR),United 110,Boeing 767-300 | Dinner
2019-7-15,17:49,9:00pm,9:20am,Lufthansa,7h 10m,(Nonstop),"$1,382",Liberty Intl. (EWR),Heathrow (LHR),United 16,Boeing 767-300 | Dinner
2019-7-15,17:49,7:00pm,7:10am,Austrian Airlines,7h 10m,(Nonstop),"$1,382",Liberty Intl. (EWR),Heathrow (LHR),Lufthansa 7626 operated by United,Boeing 767-300 | Dinner
2019-7-15,17:49,10:00pm,10:10am,Lufthansa,7h 10m,(Nonstop),"$1,382",Liberty Intl. (EWR),Heathrow (LHR),Austrian Airlines 7794 operated by United,Boeing 767-300 | Dinner
2019-7-15,17:49,10:00pm,10:10am,Lufthansa,7h 20m,(Nonstop),"$1,382",Liberty Intl. (EWR),Heathrow (LHR),Lufthansa 7632 operated by United,Boeing 767-300 | Dinner
2019-7-15,17:49,6:00pm,6:20am,Virgin Atlantic,6h 55m,(Nonstop),"$1,540",Liberty Intl. (EWR),Heathrow (LHR),Lufthansa 7628 operated by United,Boeing 767-300 | Dinner
2019-7-15,17:49,8:15am,8:10pm,Delta,6h 55m,(Nonstop),"$1,540",John F. Kennedy Intl. (JFK),Heathrow (LHR),Virgin Atlantic 26,Airbus A340-600 | Lunch
2019-7-15,17:49,8:15am,8:10pm,Virgin Atlantic,7h 5m,(Nonstop),"$1,540",John F. Kennedy Intl. (JFK),Heathrow (LHR),Delta 4371 operated by Virgin Atlantic,Airbus A340-600 | Lunch
2019-7-15,17:49,10:00pm,10:05am,Delta,7h 10m,(Nonstop),"$1,540",Liberty Intl. (EWR),Heathrow (LHR),Virgin Atlantic 2,Airbus A330-300 | Dinner
2019-7-15,17:49,11:00pm,11:10am,Virgin Atlantic,7h 15m,(Nonstop),"$1,540",John F. Kennedy Intl. (JFK),Heathrow (LHR),Delta 3,Airbus A330-200 | Dinner
2019-7-15,17:49,8:30pm,8:45am,Virgin Atlantic,7h 15m,(Nonstop),"$1,540",John F. Kennedy Intl. (JFK),Heathrow (LHR),Virgin Atlantic 154,Airbus A340-600 | Dinner
2019-7-15,17:49,9:00pm,9:15am,Virgin Atlantic,7h 15m,(Nonstop),"$1,540",John F. Kennedy Intl. (JFK),Heathrow (LHR),Virgin Atlantic 46,Airbus A340-600 | Dinner
2019-7-15,17:49,10:00pm,10:15am,Virgin Atlantic,7h 20m,(Nonstop),"$1,540",John F. Kennedy Intl. (JFK),Heathrow (LHR),Virgin Atlantic 10,Airbus A330-300 | Dinner
